text,lang,folder,filename
"Arabako Txakolina-Txakolí de Álava","es","Spain","Arabako Txakolina-Txakolí de Álava.mp3"
"VC Cangas","es","Spain","VC Cangas.mp3"
"Granada","es","Spain","Granada.mp3"
"VC Lebrija","es","Spain","VC Lebrija.mp3"
"Sierra de Salamanca","es","Spain","Sierra de Salamanca.mp3"
"Valtiendas","es","Spain","Valtiendas.mp3"
"Valles de Benavente","es","Spain","Valles de Benavente.mp3"
"Campo de la Guardia","es","Spain","Campo de la Guardia.mp3"
"Casa del Blanco","es","Spain","Casa del Blanco.mp3"
"Pago Florentino","es","Spain","Pago Florentino.mp3"
"Pago Arínzano","es","Spain","Pago Arínzano.mp3"
"Pago Otazu","es","Spain","Pago Otazu.mp3"
"Vino de Pago Aylés","es","Spain","Vino de Pago Aylés.mp3"
"Pago de Calzadilla","es","Spain","Pago de Calzadilla.mp3"
"El Terrerazo","es","Spain","El Terrerazo.mp3"
"Pago Los Balagueses","es","Spain","Pago Los Balagueses.mp3"
"Prado Irache","es","Spain","Prado Irache.mp3"
"Dehesa del Carrizal","es","Spain","Dehesa del Carrizal.mp3"
"Dominio de Valdepusa","es","Spain","Dominio de Valdepusa.mp3"
"Finca Élez","es","Spain","Finca Élez.mp3"
"Guijoso","es","Spain","Guijoso.mp3"
"Vinho Verde","pt","Portugal","Vinho Verde.mp3"
"Trás-os-Montes","pt","Portugal","Trás-os-Montes.mp3"
"Douro","pt","Portugal","Douro.mp3"
"Porto","pt","Portugal","Porto.mp3"
"Távora-Varosa","pt","Portugal","Távora-Varosa.mp3"
"Lafões","pt","Portugal","Lafões.mp3"
"Dão","pt","Portugal","Dão.mp3"
"Bairrada","pt","Portugal","Bairrada.mp3"
"Beira Interior","pt","Portugal","Beira Interior.mp3"
"Encostas d'Aire","pt","Portugal","Encostas d'Aire.mp3"
"Óbidos","pt","Portugal","Óbidos.mp3"
"Alenquer","pt","Portugal","Alenquer.mp3"
"Arruda","pt","Portugal","Arruda.mp3"
"Torres Vedras","pt","Portugal","Torres Vedras.mp3"
"Lourinhã","pt","Portugal","Lourinhã.mp3"
"Bucelas","pt","Portugal","Bucelas.mp3"
"Carcavelos","pt","Portugal","Carcavelos.mp3"
"Colares","pt","Portugal","Colares.mp3"
"DoTejo","pt","Portugal","DoTejo.mp3"
"Setúbal","pt","Portugal","Setúbal.mp3"
"Palmela","pt","Portugal","Palmela.mp3"
"Alentejo","pt","Portugal","Alentejo.mp3"
"Lagos","pt","Portugal","Lagos.mp3"
"Portimão","pt","Portugal","Portimão.mp3"
"Lagoa","pt","Portugal","Lagoa.mp3"
"Tavira","pt","Portugal","Tavira.mp3"
"Madeira","pt","Portugal","Madeira.mp3"
"Madeirense","pt","Portugal","Madeirense.mp3"
"Graciosa","pt","Portugal","Graciosa.mp3"
"Biscoitos","pt","Portugal","Biscoitos.mp3"
"Pico","pt","Portugal","Pico.mp3"
"Minho","pt","Portugal","Minho.mp3"
"Transmontano","pt","Portugal","Transmontano.mp3"
"Duriense","pt","Portugal","Duriense.mp3"
"Terras de Cister","pt","Portugal","Terras de Cister.mp3"
"Terras do Dão","pt","Portugal","Terras do Dão.mp3"
"Beira Atlântico","pt","Portugal","Beira Atlântico.mp3"
"Terras da Beira","pt","Portugal","Terras da Beira.mp3"
"Lisboa","pt","Portugal","Lisboa.mp3"
"Tejo","pt","Portugal","Tejo.mp3"
"Península de Setúbal","pt","Portugal","Península de Setúbal.mp3"
"Alentejano","pt","Portugal","Alentejano.mp3"
"Algarve","pt","Portugal","Algarve.mp3"
"Terras Madeirenses","pt","Portugal","Terras Madeirenses.mp3"
"Açores","pt","Portugal","Açores.mp3"
"Adelaida District","en","California","Adelaida District.mp3"
"Alexander Valley","en","California","Alexander Valley.mp3"
"Alisos Canyon","en","California","Alisos Canyon.mp3"
"Alta Mesa","en","California","Alta Mesa.mp3"
"Anderson Valley","en","California","Anderson Valley.mp3"
"Antelope Valley of the California High Desert","en","California","Antelope Valley of the California High Desert.mp3"
"Arroyo Grande Valley","en","California","Arroyo Grande Valley.mp3"
"Arroyo Seco","en","California","Arroyo Seco.mp3"
"Atlas Peak","en","California","Atlas Peak.mp3"
"Ballard Canyon","en","California","Ballard Canyon.mp3"
"Ben Lomond Mountain","en","California","Ben Lomond Mountain.mp3"
"Benmore Valley","en","California","Benmore Valley.mp3"
"Bennett Valley","en","California","Bennett Valley.mp3"
"Big Valley District-Lake County","en","California","Big Valley District-Lake County.mp3"
"Borden Ranch","en","California","Borden Ranch.mp3"
"California Shenandoah Valley","en","California","California Shenandoah Valley.mp3"
"Calistoga","en","California","Calistoga.mp3"
"Capay Valley","en","California","Capay Valley.mp3"
"Carmel Valley","en","California","Carmel Valley.mp3"
"Central Coast","en","California","Central Coast.mp3"
"Chalk Hill","en","California","Chalk Hill.mp3"
"Chalone","en","California","Chalone.mp3"
"Chiles Valley","en","California","Chiles Valley.mp3"
"Cienega Valley","en","California","Cienega Valley.mp3"
"Clarksburg","en","California","Clarksburg.mp3"
"Clear Lake","en","California","Clear Lake.mp3"
"Clements Hills","en","California","Clements Hills.mp3"
"Cole Ranch","en","California","Cole Ranch.mp3"
"Comptche","en","California","Comptche.mp3"
"Contra Costa","en","California","Contra Costa.mp3"
"Coombsville","en","California","Coombsville.mp3"
"Cosumnes River","en","California","Cosumnes River.mp3"
"Covelo","en","California","Covelo.mp3"
"Creston District","en","California","Creston District.mp3"
"Crystal Springs of Napa Valley ","en","California","Crystal Springs of Napa Valley .mp3"
"Cucamonga Valley","en","California","Cucamonga Valley.mp3"
"Diablo Grande","en","California","Diablo Grande.mp3"
"Diamond Mountain District","en","California","Diamond Mountain District.mp3"
"Dos Rios","en","California","Dos Rios.mp3"
"Dry Creek Valley","en","California","Dry Creek Valley.mp3"
"Dunnigan Hills","en","California","Dunnigan Hills.mp3"
"Eagle Peak Mendocino County","en","California","Eagle Peak Mendocino County.mp3"
"Edna Valley","en","California","Edna Valley.mp3"
"El Dorado","en","California","El Dorado.mp3"
"El Pomar District","en","California","El Pomar District.mp3"
"Fair Play","en","California","Fair Play.mp3"
"Fiddletown","en","California","Fiddletown.mp3"
"Fort Ross-Seaview","en","California","Fort Ross-Seaview.mp3"
"Fountaingrove District","en","California","Fountaingrove District.mp3"
"Gabilan Mountains","en","California","Gabilan Mountains.mp3"
"Green Valley of Russian River Valley","en","California","Green Valley of Russian River Valley.mp3"
"Guenoc Valley","en","California","Guenoc Valley.mp3"
"Hames Valley","en","California","Hames Valley.mp3"
"Happy Canyon of Santa Barbara","en","California","Happy Canyon of Santa Barbara.mp3"
"High Valley","en","California","High Valley.mp3"
"Howell Mountain","en","California","Howell Mountain.mp3"
"Inwood Valley","en","California","Inwood Valley.mp3"
"Jahant","en","California","Jahant.mp3"
"Kelsey Bench-Lake County","en","California","Kelsey Bench-Lake County.mp3"
"Knights Valley","en","California","Knights Valley.mp3"
"Lamorinda","en","California","Lamorinda.mp3"
"Leona Valley","en","California","Leona Valley.mp3"
"Lime Kiln Valley","en","California","Lime Kiln Valley.mp3"
"Livermore Valley","en","California","Livermore Valley.mp3"
"Lodi","en","California","Lodi.mp3"
"Long Valley-Lake County","en","California","Long Valley-Lake County.mp3"
"Los Carneros","en","California","Los Carneros.mp3"
"Los Olivos District","en","California","Los Olivos District.mp3"
"Madera","en","California","Madera.mp3"
"Malibu Coast","en","California","Malibu Coast.mp3"
"Malibu-Newton Canyon","en","California","Malibu-Newton Canyon.mp3"
"Manton Valley","en","California","Manton Valley.mp3"
"McDowell Valley","en","California","McDowell Valley.mp3"
"Mendocino","en","California","Mendocino.mp3"
"Mendocino Ridge","en","California","Mendocino Ridge.mp3"
"Merritt Island","en","California","Merritt Island.mp3"
"Mokelumne River","en","California","Mokelumne River.mp3"
"Monterey","en","California","Monterey.mp3"
"Moon Mountain District Sonoma County","en","California","Moon Mountain District Sonoma County.mp3"
"Mt. Harlan","en","California","Mt. Harlan.mp3"
"Mt. Veeder","en","California","Mt. Veeder.mp3"
"Napa Valley","en","California","Napa Valley.mp3"
"North Coast","en","California","North Coast.mp3"
"North Yuba","en","California","North Yuba.mp3"
"Northern Sonoma","en","California","Northern Sonoma.mp3"
"Oak Knoll District of Napa Valley","en","California","Oak Knoll District of Napa Valley.mp3"
"Oakville","en","California","Oakville.mp3"
"Pacheco Pass","en","California","Pacheco Pass.mp3"
"Paicines","en","California","Paicines.mp3"
"Palos Verdes Peninsula","en","California","Palos Verdes Peninsula.mp3"
"Paso Robles","en","California","Paso Robles.mp3"
"Paso Robles Estrella District","en","California","Paso Robles Estrella District.mp3"
"Paso Robles Geneseo District","en","California","Paso Robles Geneseo District.mp3"
"Paso Robles Highlands District","en","California","Paso Robles Highlands District.mp3"
"Paso Robles Willow Creek District","en","California","Paso Robles Willow Creek District.mp3"
"Paulsell Valley","en","California","Paulsell Valley.mp3"
"Petaluma Gap","en","California","Petaluma Gap.mp3"
"Pine Mountain-Cloverdale Peak","en","California","Pine Mountain-Cloverdale Peak.mp3"
"Potter Valley","en","California","Potter Valley.mp3"
"Ramona Valley","en","California","Ramona Valley.mp3"
"Red Hills Lake County","en","California","Red Hills Lake County.mp3"
"Redwood Valley","en","California","Redwood Valley.mp3"
"River Junction","en","California","River Junction.mp3"
"Rockpile","en","California","Rockpile.mp3"
"Russian River Valley","en","California","Russian River Valley.mp3"
"Rutherford","en","California","Rutherford.mp3"
"Saddle Rock-Malibu","en","California","Saddle Rock-Malibu.mp3"
"Salado Creek","en","California","Salado Creek.mp3"
"San Antonio Valley","en","California","San Antonio Valley.mp3"
"San Benito","en","California","San Benito.mp3"
"San Bernabe","en","California","San Bernabe.mp3"
"San Francisco Bay","en","California","San Francisco Bay.mp3"
"San Juan Creek","en","California","San Juan Creek.mp3"
"San Lucas","en","California","San Lucas.mp3"
"San Luis Obispo Coast","en","California","San Luis Obispo Coast.mp3"
"San Luis Rey","en","California","San Luis Rey.mp3"
"San Miguel District","en","California","San Miguel District.mp3"
"San Pasqual Valley","en","California","San Pasqual Valley.mp3"
"San Ysidro District","en","California","San Ysidro District.mp3"
"Santa Clara Valley","en","California","Santa Clara Valley.mp3"
"Santa Cruz Mountains","en","California","Santa Cruz Mountains.mp3"
"Santa Lucia Highlands","en","California","Santa Lucia Highlands.mp3"
"Santa Margarita Ranch","en","California","Santa Margarita Ranch.mp3"
"Santa Maria Valley","en","California","Santa Maria Valley.mp3"
"Santa Ynez Valley","en","California","Santa Ynez Valley.mp3"
"Seiad Valley","en","California","Seiad Valley.mp3"
"Sierra Foothills","en","California","Sierra Foothills.mp3"
